************************************
*   Event  *     PH    *    ToF    *
*      596 * 16.871133 * 68.804901 *
*      597 * 17.064012 * 68.700653 *
*      598 * 16.814527 * 85.067413 *
*      599 * 17.035665 * 73.848419 *
*      601 * 16.992956 * 159.04727 *
*      602 * 16.825498 * 69.505218 *
*      604 * 17.232845 * 125.65930 *
*      611 * 16.900163 * -322.8328 *
*      616 * 17.151794 * -1354.652 *
*      618 * 17.166854 * 71.363922 *
*      620 * 16.997509 * 75.359649 *
*      622 * 17.156662 * 73.694061 *
*      629 * 16.839445 * 73.654113 *
*      646 * 16.307107 * 75.756713 *
*      647 * 34.223850 * 72.946838 *
*      648 * 16.707681 * -90.28607 *
*      653 * 16.830230 * 76.054931 *
*      655 * 16.794290 * 68.644165 *
*      663 * 16.348453 * 216.85415 *
*      667 * 16.815647 * 76.459594 *
*      668 * 16.586999 * 73.811065 *
*      670 * 16.692464 * 68.653076 *
*      672 * 17.012811 * 70.641784 *
*      673 * 17.229736 * 73.578735 *
*      679 * 16.921262 *  75.96698 *
*      688 * 16.941940 * 72.598236 *
*      693 * 16.517946 * 69.080535 *
*      697 * 16.690040 * 76.211181 *
*      700 * 16.781057 * 69.472351 *
*      703 * 16.913927 * 74.814025 *
*      706 * 16.990512 * 75.817047 *
*      709 * 17.192794 * -970.5920 *
*      711 * 16.715715 * 69.036315 *
*      718 * 17.049751 * 73.646484 *
*      722 * 16.572837 * 78.249328 *
*      726 * 17.109987 * 73.419097 *
*      728 * 16.584114 * 77.984497 *
*      729 * 17.558475 * 70.933868 *
*      731 * 17.076475 * 76.285156 *
*      735 * 16.812187 * 79.141265 *
*      741 * 16.952484 * 75.889190 *
*      752 * 16.817802 * 70.537445 *
*      758 * 16.877004 * 72.229492 *
*      765 * 16.697698 * 75.746276 *
*      769 * 16.948886 * 73.914093 *
*      777 * 17.096109 * -1387.644 *
*      778 * 16.874954 * 78.434783 *
*      782 * 16.544368 * 72.959106 *
*      783 * 17.043989 * 70.574066 *
*      784 * 17.368124 * 78.828491 *
*      785 * 16.893135 * 71.594909 *
*      787 * 16.336248 * 70.469543 *
*      788 * 17.099418 * 74.107879 *
*      796 * 17.103603 * 75.232696 *
*      802 * 16.944839 * 73.887878 *
*      804 * 17.215129 * -662.2764 *
*      807 * 34.140525 * 76.529785 *
*      809 * 16.816581 * 77.737823 *
*      811 * 16.799886 * 73.542053 *
*      816 * 16.746862 * 74.915008 *
*      829 * 16.829513 * 71.630096 *
*      835 * 16.669992 * -170.8912 *
*      840 * 16.909111 * 74.747375 *
*      841 * 17.075212 * 75.020477 *
*      842 * 17.120206 * 70.859954 *
*      843 * 16.929031 * 68.693023 *
*      846 * 17.035753 * -1.767333 *
*      848 * 17.201234 * 69.536346 *
*      851 * 33.263980 * 76.910369 *
*      853 * 16.834098 * 73.823547 *
*      859 * 16.831953 * 77.437316 *
*      861 * 16.483724 * 73.243286 *
*      862 * 17.118162 * 74.366363 *
*      864 * 16.806676 * 73.681121 *
*      865 * 16.788383 * 77.736297 *
*      867 * 16.722349 * 74.115264 *
*      868 * 16.450294 * 75.554809 *
*      883 * 17.545721 * 76.476776 *
*      885 * 16.139862 * 75.218231 *
*      895 * 17.047964 * 75.464141 *
*      897 * 16.881414 * 69.370452 *
*      904 * 16.975330 * 72.578918 *
*      907 * 16.497106 * 70.237548 *
*      911 * 16.942554 * 74.388641 *
*      913 * 16.907733 * 71.606414 *
*      916 * 16.921917 * 71.435455 *
*      922 * 16.862871 * 74.398437 *
*      924 * 17.193220 * 77.720123 *
*      926 * 17.341672 * 72.611175 *
*      930 * 17.009437 * 74.704223 *
*      932 * 16.920824 * 72.481170 *
*      935 * 16.767194 * 74.232177 *
*      936 * 16.919023 * 70.179565 *
*      942 * 16.546972 * 72.814300 *
*      943 * 17.341671 * -1000.413 *
*      945 * 16.899568 * 70.533691 *
*      946 * 16.932888 * 57.201324 *
*      950 * 16.747928 * 72.400787 *
*      952 * 16.795160 * -1324.050 *
*      955 * 16.739709 * 74.029388 *
*      956 * 16.828382 * -783.0396 *
*      957 * 16.999290 * 72.125701 *
*      959 * 17.140928 * 72.469055 *
*      961 * 16.602306 * 81.517700 *
*      963 * 17.082918 * 77.927154 *
*      970 * 16.925254 * 69.788147 *
*      971 * 17.107381 * 75.518096 *
*      972 * 16.339395 * 72.004974 *
*      976 * 17.372407 *  72.23703 *
*      984 * 16.923412 * 67.832519 *
*      985 * 16.822607 * -1191.887 *
*      989 * 33.674366 * 75.438964 *
*      990 * 16.810499 * 73.077331 *
*      992 * 16.837314 * 61.123809 *
*      998 * 16.534803 * 72.817169 *
*     1016 * 16.854740 * -649.6061 *
*     1018 * 16.549062 * 61.655822 *
*     1020 *  16.82057 * 73.534362 *
*     1021 * 31.751205 * 75.007690 *
*     1030 * 16.856086 * 70.077697 *
*     1032 * 16.318079 * 77.204681 *
*     1043 * 17.029733 * 74.823272 *
*     1054 * 16.736930 * 74.944671 *
*     1057 * 34.318988 * -544.4324 *
*     1058 * 16.770498 * 77.352203 *
*     1065 * 16.745315 * 70.762725 *
*     1069 * 16.889854 * 73.880920 *
*     1070 * 16.972904 * 75.055236 *
*     1076 *   34.5723 * 76.839782 *
*     1079 * 16.224956 * 73.575103 *
*     1082 * 33.870277 * 75.862854 *
*     1089 * 17.166374 * 71.775726 *
*     1091 * 16.974666 * -514.5213 *
*     1093 * 33.082553 * 74.464202 *
*     1094 * 16.704267 * 75.734619 *
*     1095 * 16.920030 * 70.967712 *
*     1096 * 16.536569 * 70.412994 *
*     1106 * 16.786586 * 72.852081 *
*     1112 * 16.861547 * 75.570373 *
*     1115 * 16.613699 * 72.115600 *
*     1117 * 17.137603 * 74.085876 *
*     1126 * 16.766164 * 71.567627 *
*     1130 * 16.749528 * -508.5856 *
*     1136 * 16.450883 * 71.086425 *
*     1137 * 16.634441 * 76.670288 *
*     1138 * 16.824041 * -742.4276 *
*     1142 * 17.083173 * 74.886291 *
*     1151 * 16.845581 * 69.333648 *
*     1158 * 16.646341 * 70.679351 *
*     1159 * 16.808458 * 71.511505 *
*     1162 * 16.449184 * 75.147735 *
*     1166 * 17.144105 * 73.747131 *
*     1167 * 16.737447 * 72.185302 *
*     1172 * 16.949783 * 73.344909 *
*     1177 * 16.945438 * -264.4573 *
*     1181 * 17.078392 * 73.183441 *
*     1183 * 33.783111 * 75.289917 *
*     1185 * 16.844715 * 75.358459 *
*     1190 * 16.638576 * 75.352020 *
*     1193 * 16.920728 * 71.304290 *
*     1194 * 17.312303 * 77.790344 *
*     1197 * 16.864742 * 70.130432 *
*     1202 * 16.890451 * 71.924285 *
*     1215 * 16.405080 * 77.522460 *
*     1227 * 35.035179 * 77.181396 *
*     1228 * 17.104112 * -1444.706 *
