************************************
*   Event  *     PH    *    ToF    *
*     4913 * 16.568561 * 75.835723 *
*     4915 * 16.632801 * 75.175415 *
*     4916 * 16.693279 * 72.806182 *
*     4917 * 17.304618 * 76.893219 *
*     4921 * 17.064283 * 74.172332 *
*     4924 * 16.724342 * 73.524139 *
*     4928 * 30.880928 * 74.927978 *
*     4933 * 17.354488 * 68.653198 *
*     4936 * 16.406690 * 70.478607 *
*     4937 * 16.455516 * 73.185424 *
*     4940 * 16.488756 * 75.900543 *
*     4941 * 16.553876 * 78.461669 *
*     4943 * 16.980632 * 72.254943 *
*     4947 * 16.956596 * 74.600647 *
*     4951 * 17.320861 * 74.671508 *
*     4957 * 16.873706 * 76.438995 *
*     4958 * 16.788349 * 76.232543 *
*     4960 * 16.823902 * 77.353729 *
*     4961 * 16.786336 * 75.344207 *
*     4964 * 16.514638 * 75.408172 *
*     4976 * 17.057310 * 72.683105 *
*     4977 * 16.599210 * 69.094665 *
*     4982 * 16.769659 * 69.955444 *
*     4983 * 17.070905 * 72.692901 *
*     4987 * 16.504541 * 72.924957 *
*     4988 * 16.697341 * 77.774902 *
*     4989 * 17.221183 * 72.406585 *
*     4990 * 16.602525 * 70.556945 *
*     4994 * 17.182952 * 77.454925 *
*     4996 * 16.843236 * 65.787262 *
*     4998 * 17.351186 * 72.238586 *
*     5011 * 16.731798 * 69.156860 *
*     5016 * 16.797885 * 75.059204 *
*     5018 * 17.156343 * 74.195648 *
*     5019 * 16.957746 * 71.366455 *
*     5028 * 16.891511 * 74.464721 *
*     5030 * 17.058013 * 68.947876 *
*     5032 * 16.968664 * 72.787048 *
*     5033 * 16.963731 * 76.970001 *
*     5035 * 16.845493 * 72.894317 *
*     5046 * 16.790321 * 74.931884 *
*     5069 * 16.373498 * 67.422515 *
*     5072 * 17.282774 * 73.326934 *
*     5077 * 16.828424 * 77.748168 *
*     5080 * 16.959697 * 74.040435 *
*     5083 * 17.070264 * 71.449157 *
*     5084 * 16.542461 * -1157.316 *
*     5094 * 16.601402 * 72.292480 *
*     5095 * 16.601263 * 74.795776 *
*     5096 * 16.805538 * 73.942657 *
*     5101 * 16.701574 * 78.310485 *
*     5103 * 16.985244 * 74.420684 *
*     5109 * 16.901441 * 72.178405 *
*     5110 * 17.233631 * 70.864654 *
*     5115 * 16.677251 * 71.122375 *
*     5117 * 16.785165 * 75.096435 *
*     5121 * 16.892559 * 70.821167 *
*     5122 * 17.109350 * 55.187957 *
*     5133 * 16.761732 * 72.190094 *
*     5135 * 16.816705 * 72.426666 *
*     5141 * 33.188915 * 74.406127 *
*     5147 * 31.448488 * 77.494384 *
*     5148 * 17.279138 * 72.365203 *
*     5149 * 16.890800 * 71.086853 *
*     5151 * 16.740928 * 71.839691 *
*     5152 * 16.685501 * 74.476623 *
*     5158 * 16.739452 * 71.915618 *
*     5159 * 17.180698 * -886.5997 *
*     5162 * 16.912977 * 73.372802 *
*     5170 * 16.957351 * 70.024169 *
*     5177 * 16.881069 * 71.044494 *
*     5186 * 33.570526 * 72.910400 *
*     5190 * 16.797445 * 73.581848 *
*     5191 * 16.907777 * 72.952880 *
*     5194 * 16.676347 * 72.881256 *
*     5199 * 16.833234 * 78.782592 *
*     5201 * 17.073461 * 75.040924 *
*     5202 * 16.967216 * 74.999389 *
*     5209 * 17.004331 * 74.028778 *
*     5214 * 16.730556 * 67.928985 *
*     5217 * 16.591907 * 70.520263 *
*     5218 * 17.240512 * 71.465667 *
*     5221 * 17.141323 * 71.225372 *
*     5225 * 16.462431 * 72.653137 *
*     5231 * 16.590267 * 76.833343 *
*     5232 * 16.653701 * 70.117828 *
*     5235 * 17.014759 * -339.1170 *
*     5238 * 16.651453 * 76.733093 *
*     5245 * 17.056053 * 74.281189 *
*     5248 * 16.408998 * 76.259491 *
*     5249 * 17.037262 * 74.218200 *
*     5250 * 17.345069 * 71.466095 *
*     5252 * 17.000059 * -106.9497 *
*     5253 * 16.881698 * 74.533203 *
*     5260 * 16.768146 * 69.635589 *
*     5264 * 17.252285 * 68.739135 *
*     5271 * 17.106004 *  73.28302 *
*     5273 * 16.641511 * -341.5691 *
*     5274 * 16.641487 * 67.965515 *
*     5278 * 17.783531 * 74.210357 *
*     5289 * 16.751583 * 74.392089 *
*     5290 * 16.786039 * 77.303192 *
*     5297 * 16.974239 * 74.867950 *
*     5309 * 20.923408 * -179.4765 *
*     5311 * 16.706939 * 71.553924 *
*     5313 * 16.575532 * 77.763031 *
*     5322 * 16.900156 * 74.152252 *
*     5327 * 16.460769 * 74.790222 *
*     5333 * 17.830581 * -316.8642 *
*     5334 * 17.058605 * 70.378418 *
*     5351 * 16.754184 * 73.765625 *
*     5353 * 16.650262 * 75.832702 *
*     5362 * 16.640302 * 76.886993 *
*     5363 * 16.810865 * 78.232818 *
*     5367 * 16.552961 * 69.083099 *
*     5373 * 16.970932 * 76.193145 *
*     5379 * 16.878398 *   69.0625 *
*     5396 * 16.708240 * -1307.458 *
*     5403 * 16.878366 *  70.67099 *
*     5404 * 16.663814 * 69.542755 *
*     5405 * 16.981374 * 530.57777 *
*     5410 * 17.214082 * 76.288024 *
*     5412 * 16.922489 * 70.376953 *
*     5421 * 16.687072 * 70.723999 *
*     5428 * 16.952100 * 72.919616 *
*     5434 * 17.251461 * 75.891449 *
*     5437 * 16.949480 * -1036.003 *
*     5439 * 16.894828 * -581.5988 *
*     5447 * 16.613363 * 67.426055 *
*     5450 * 16.706916 * -242.3508 *
*     5452 * 16.489826 * 71.340271 *
*     5453 * 16.583723 * 69.384521 *
*     5454 * 16.403862 * 71.784423 *
*     5456 * 17.355783 * 72.144500 *
*     5464 * 16.911947 * 74.591766 *
*     5471 * 17.006898 * 78.516998 *
*     5473 * 16.771152 * 72.696716 *
*     5474 * 16.664884 * 72.655395 *
*     5480 * 32.187336 * 73.414917 *
*     5482 * 17.157518 * 74.767822 *
*     5484 * 16.993541 * 73.037902 *
*     5489 * 16.828773 * 74.619537 *
*     5490 * 16.428756 * 77.127258 *
*     5497 * 17.189100 * 70.515930 *
*     5500 * 17.031356 * 72.455627 *
*     5502 * 16.320711 * 72.665374 *
*     5503 * 16.333353 * 75.707366 *
*     5507 * 16.485645 * 71.396240 *
*     5510 * 16.363277 * 73.651641 *
*     5512 * 16.786954 * 72.245941 *
*     5517 * 16.849870 * 75.691101 *
*     5522 * 16.965332 * 78.971862 *
*     5524 * 16.953495 * 70.081756 *
*     5525 * 16.719936 * 77.150268 *
*     5529 * 16.488885 * 67.097595 *
*     5530 * 16.966354 * 72.822235 *
*     5533 * 16.767278 * 78.499298 *
*     5541 * 16.864343 * 76.136261 *
*     5543 * 17.051225 * 70.578338 *
*     5545 * 16.721847 * 75.128631 *
*     5548 * 17.068466 * 69.028167 *
*     5554 * 16.732290 * 213.38269 *
*     5555 * 16.572223 * 70.864685 *
*     5559 * 16.615036 * 76.462219 *
*     5561 * 16.878070 * 69.678344 *
*     5563 * 17.259502 * 70.896453 *
*     5568 * 16.972497 * 67.574432 *
*     5570 * 16.386863 * 69.543853 *
*     5573 * 16.330354 * 76.517913 *
*     5576 * 16.740266 * 70.591552 *
*     5577 * 16.919504 * 75.146179 *
*     5579 * 16.763990 * 77.442108 *
*     5587 * 16.912847 * 68.163635 *
*     5595 * 16.984001 * 74.651458 *
*     5596 * 16.715532 * 73.256866 *
*     5597 * 16.789035 * 72.882019 *
*     5599 * 16.943277 * 77.079162 *
*     5603 * 17.038805 * 78.324218 *
*     5605 * 16.251369 * 70.789184 *
*     5607 * 16.803247 * 78.900329 *
*     5614 * 16.898223 * 70.453949 *
*     5620 * 16.927362 * 74.053405 *
*     5640 * 16.824260 * 69.636322 *
*     5641 * 17.602035 * 74.039489 *
*     5642 * 16.802091 * 72.672088 *
*     5645 * 33.555244 * 73.748016 *
*     5651 * 17.310436 * 74.089721 *
*     5652 * 17.551576 * 75.139709 *
*     5660 * 16.373365 * 75.194671 *
*     5662 * 16.959867 * -219.5453 *
*     5665 * 16.985673 * 76.382537 *
*     5672 * 16.772939 * 74.167480 *
*     5673 * 17.255069 * 75.529693 *
*     5677 * 16.634727 * -656.6401 *
*     5680 * 16.932432 * 72.065734 *
*     5683 * 16.465522 * 72.312469 *
*     5690 * 16.649011 * -975.3428 *
*     5698 * 16.983667 * 75.758087 *
*     5700 * 17.073123 * 76.332092 *
*     5701 * 17.416965 * -45.52532 *
*     5704 * 17.562852 * 68.892913 *
*     5710 * 17.074985 * 70.345489 *
*     5711 * 16.247552 * 80.587127 *
*     5712 * 17.143545 * 72.329162 *
*     5720 * 16.951196 * 70.582977 *
*     5721 * 31.263666 * 75.721405 *
*     5724 * 16.963216 * -1110.909 *
*     5725 * 16.666059 * 64.789001 *
*     5727 * 17.191667 * 72.250335 *
*     5730 * 16.946048 * -999.3759 *
*     5731 * 17.197439 * 74.073425 *
*     5736 * 16.789009 * 77.884552 *
*     5737 * 17.012420 * 72.484344 *
*     5739 * 16.529886 * 69.021209 *
*     5744 * 16.811912 * 73.184356 *
*     5749 * 17.022321 * 75.176910 *
*     5750 * 16.827459 * 462.20863 *
*     5753 * 16.578071 * 74.410369 *
*     5767 * 16.629873 * 77.945159 *
*     5768 * 17.190568 * 72.990722 *
*     5773 * 16.565219 * 74.311889 *
*     5789 * 17.295642 * 69.184356 *
*     5794 * 16.627759 * 77.920959 *
*     5802 * 16.913475 * -46.28247 *
*     5805 * 16.194805 * -1124.881 *
*     5810 * 16.937358 * 72.263885 *
*     5811 * 16.851610 * 77.185150 *
*     5817 * 16.754999 * 76.675201 *
*     5818 * 17.063653 * 74.560974 *
*     5820 * 16.969999 * -42.04235 *
*     5827 * 16.997728 * 69.918029 *
*     5831 * 16.863489 * 74.512664 *
*     5832 * 16.829555 * 75.798980 *
*     5833 * 34.273078 * 74.728607 *
*     5834 * 16.555494 * 80.802215 *
*     5836 * 16.864963 * 75.040832 *
*     5843 * 16.881618 * 70.163024 *
*     5852 * 17.177265 * 75.338256 *
*     5853 * 16.675540 * 73.517089 *
*     5859 * 17.357418 * 76.565338 *
*     5864 * 17.076959 * 77.154846 *
*     5869 * 17.231170 * 69.751342 *
*     5875 * 34.648769 * 77.959075 *
*     5877 * 16.894105 * 72.834289 *
*     5881 * 16.785757 * 74.087524 *
*     5882 * 16.380477 * 78.290283 *
*     5884 * 17.281814 * 75.157135 *
*     5885 * 15.714710 * 77.754180 *
*     5891 * 17.071746 * 74.635467 *
*     5895 * 17.286706 * 71.953430 *
*     5903 * 17.100355 * 73.703186 *
*     5906 * 16.805227 * 74.533264 *
*     5908 * 16.746357 * 75.893463 *
*     5909 * 16.478151 * 74.552185 *
*     5910 * 16.926864 *  73.41745 *
*     5912 * 16.702817 * 73.725341 *
*     5917 * 17.050315 * 70.477996 *
*     5918 * 16.833053 * 73.239837 *
*     5920 * 16.908371 * 75.748199 *
*     5922 * 16.956802 * 76.629028 *
*     5926 * 16.624446 * 73.709137 *
*     5931 * 16.487150 * 78.116027 *
*     5932 * 16.785678 * 77.989410 *
*     5941 * 16.864328 * 72.968322 *
*     5946 * 33.365531 * 75.102142 *
*     5948 * 16.622682 * 72.211669 *
*     5952 * 17.366048 * 71.668975 *
*     5957 * 16.998630 * 75.100463 *
*     5959 * 16.521814 * 71.385711 *
*     5962 * 16.889686 * 78.429534 *
*     5964 * 16.915767 * 64.794677 *
*     5966 * 16.997835 * 72.022888 *
*     5969 * 16.247564 * 74.947296 *
*     5975 * 16.677667 * 73.041656 *
*     5977 * 16.702360 * 76.445312 *
*     5981 * 16.495136 * 73.624084 *
*     5987 * 16.725696 * 71.046051 *
*     5989 * 17.003650 * 70.706024 *
*     5990 * 16.407403 * 71.975402 *
*     5996 * 17.058702 * 69.480896 *
*     5997 * 16.472047 * 70.659606 *
*     5998 * 16.501548 * 75.226318 *
*     5999 * 16.692922 * 73.077880 *
*     6002 * 16.969026 * 72.276550 *
*     6004 * 16.532505 * 69.039581 *
*     6009 * 16.765642 * 75.349426 *
*     6017 * 16.972927 * 76.396026 *
*     6025 * 16.762065 * 77.240570 *
*     6026 * 16.204767 * 71.162017 *
*     6028 * 16.916120 * 70.818603 *
*     6033 * 17.293933 * 73.162689 *
*     6034 * 16.370794 * 76.488037 *
*     6036 * 16.970487 * 74.506652 *
*     6038 * 16.775247 * 74.492248 *
*     6046 * 16.903108 * 77.812439 *
*     6058 * 16.910518 * 76.871337 *
*     6059 * 16.890728 * 74.028503 *
*     6067 * 16.711902 * 69.957336 *
*     6077 * 16.501709 * 75.771026 *
*     6080 * 16.816499 * 70.687591 *
*     6082 * 17.201387 * 72.243103 *
*     6091 * 16.741138 * 73.516998 *
*     6096 * 16.773992 * 71.303985 *
*     6098 * 34.461853 * 77.126190 *
*     6101 * 17.041589 * 72.015380 *
*     6106 * 17.169910 * -917.0770 *
*     6107 * 16.238681 * 140.49694 *
*     6110 * 16.526783 * 73.398101 *
*     6122 * 16.854393 * 76.688995 *
*     6123 * 16.768180 * 74.078155 *
*     6127 * 16.631555 * 70.536254 *
*     6132 * 17.065828 * 67.352874 *
*     6134 * 16.827919 * 72.255401 *
*     6139 * 16.944665 * 72.823242 *
*     6141 *   16.8799 * -554.4450 *
*     6142 * 16.548936 * 74.792999 *
*     6144 * 17.373661 * 71.953949 *
*     6146 * 16.635656 * 81.186248 *
*     6152 * 17.281919 * 69.555542 *
*     6153 * 16.740842 * 81.797515 *
*     6162 * 17.207273 * 69.896484 *
*     6163 * 16.784290 * 76.486663 *
*     6166 * 16.958814 * 76.385253 *
*     6168 * 16.598848 * 78.410400 *
*     6172 * 16.700998 * 73.353302 *
*     6173 * 16.775657 * 75.089996 *
*     6182 * 16.969617 * 76.438873 *
*     6192 * 17.310558 * 76.565979 *
*     6193 * 17.032724 * 71.229888 *
*     6195 * 17.039899 * -616.4523 *
*     6201 * 16.543214 * 71.812042 *
*     6205 * 17.015008 * 77.481536 *
*     6206 * 16.907615 * 72.966583 *
*     6207 * 16.709798 * 78.401947 *
*     6209 * 16.687444 * 79.132751 *
*     6212 * 16.527328 * 74.238952 *
*     6213 * 16.593053 * 76.585022 *
*     6215 * 30.337854 * -1154.961 *
*     6218 * 33.635990 * 75.940094 *
*     6232 * 16.659296 * 74.329559 *
*     6237 * 17.218803 * 71.794189 *
*     6248 * 16.955320 * 245.54345 *
*     6250 * 16.786798 * 72.703857 *
*     6251 * 17.149492 * 73.455688 *
*     6252 * 17.127485 * 78.007873 *
*     6258 * 17.258640 * 76.310455 *
*     6265 * 16.666687 * 77.150360 *
*     6269 * 16.814083 * 71.049804 *
*     6282 * 16.721057 * 71.618377 *
*     6286 * 17.134014 * 74.169616 *
*     6293 * 17.111639 * 76.252502 *
*     6296 * 17.351568 * 71.282501 *
*     6297 * 17.063331 * 70.423339 *
*     6298 * 16.921541 * 73.021087 *
*     6302 * 16.738451 * 74.215393 *
*     6303 * 16.833112 * 76.069915 *
*     6305 * 16.489654 * 73.144256 *
*     6306 * 16.778127 * 78.247802 *
*     6312 * 17.031297 * 77.037567 *
*     6315 * 16.315296 * 76.797149 *
*     6317 * 16.690959 * 70.448333 *
*     6327 * 17.274379 * 72.411071 *
*     6329 * 16.969169 * 75.792419 *
*     6335 * 16.703140 * 71.417511 *
*     6336 * 17.045244 * 60.635223 *
*     6337 * 16.699899 * 71.015564 *
*     6347 * 16.719976 * 77.539581 *
*     6358 * 16.640426 * 74.678802 *
*     6359 * 16.357561 * 71.663696 *
*     6370 * 16.897720 * 70.669097 *
*     6373 * 16.926963 * -244.9603 *
*     6377 * 16.992664 * 75.267181 *
*     6381 * 17.015537 * 68.749664 *
*     6383 * 16.587453 * 75.787170 *
*     6388 * 16.553663 * 73.708618 *
*     6406 * 16.812139 * 74.337188 *
*     6407 * 34.284500 * 76.033630 *
*     6413 * 16.715808 * 73.222961 *
*     6415 * 33.184036 * 76.234222 *
*     6417 * 16.662904 * 76.749572 *
*     6418 * 16.699502 * 73.854248 *
*     6419 * 16.602750 * 78.970855 *
*     6435 * 16.886026 * 76.288482 *
*     6438 * 16.320203 * 77.365570 *
*     6444 * 17.112205 * 75.720855 *
*     6451 * 16.532520 * 69.631774 *
*     6452 * 16.620327 * 71.082305 *
*     6454 * 17.088689 * 74.732086 *
*     6455 * 17.076480 * 73.293975 *
*     6456 * 17.354957 * 78.361206 *
*     6460 * 16.940494 * 80.552917 *
*     6462 * 17.335271 * 73.075225 *
*     6464 * 16.785350 * 70.137054 *
*     6468 * 16.649576 * 75.221130 *
*     6469 * 17.017351 * 76.213104 *
*     6475 * 16.386865 * 66.071746 *
*     6486 * 16.618236 * 69.640167 *
*     6492 * 16.943779 * 72.975738 *
*     6511 * 35.128238 * 75.452087 *
*     6514 * 16.933553 * 71.965545 *
*     6516 * 16.615015 * 72.595001 *
*     6518 *  16.58465 * 69.087829 *
*     6525 * 16.580463 * 76.280853 *
*     6528 * 16.831405 * 76.387634 *
*     6539 * 16.839387 * 532.47157 *
*     6540 * 16.853231 *  76.28302 *
*     6544 * 16.695735 * 79.619842 *
*     6546 * 16.689842 * 78.940368 *
*     6548 * 16.809202 * 76.158752 *
*     6559 * 16.892917 * 71.718902 *
*     6562 * 16.359149 * 73.227569 *
*     6566 * 16.711847 * 73.059478 *
*     6568 * 16.974914 * 74.583343 *
*     6569 * 16.600885 * 74.047027 *
*     6570 * 16.988506 * 74.766937 *
*     6571 * 16.937252 * 74.728729 *
*     6574 * 16.965150 * 76.395019 *
*     6582 * 34.395481 * 73.791809 *
*     6583 * 16.934959 * 81.070556 *
*     6585 * 16.872072 * 75.485321 *
*     6588 * 16.997476 * 68.283233 *
*     6589 * 16.304260 * 75.733673 *
*     6592 * 16.867767 * 78.090728 *
*     6593 * 16.894849 * 74.251892 *
*     6600 * 16.844018 * 69.468841 *
*     6601 * 16.881057 * 73.178680 *
*     6614 * 16.603666 * 73.339111 *
*     6615 * 17.034038 * 78.154327 *
*     6622 * 16.994733 * 75.653350 *
*     6624 * 17.074752 * 72.513244 *
*     6625 * 16.674474 * 74.760925 *
*     6627 * 16.721281 * 74.048736 *
*     6639 * 16.276123 * 74.386535 *
*     6641 * 17.216636 * 510.77235 *
*     6651 * 16.569738 * 75.109497 *
*     6654 * 16.531036 * 75.810119 *
*     6656 * 16.939569 * 74.049713 *
*     6659 * 16.774341 * 75.557800 *
*     6660 * 17.123584 * 77.279541 *
*     6664 * 16.731332 * 75.951995 *
*     6668 * 17.154233 * 70.286041 *
*     6670 * 16.539098 * 70.305999 *
*     6671 * 16.250671 * 76.118957 *
*     6673 * 16.794956 * 77.415802 *
*     6676 * 16.894798 * 75.460845 *
*     6682 * 16.997957 * 72.082244 *
*     6695 * 16.640386 * 78.475799 *
*     6699 * 16.206060 * -283.7937 *
*     6700 * 16.580095 * 72.736053 *
*     6711 * 16.895702 * 74.829803 *
*     6712 * 17.167211 * 72.747131 *
*     6713 * 16.976245 * 74.704162 *
*     6747 * 23.072097 * -103.0016 *
*     6749 * 32.878315 * -1415.977 *
*     6846 * 22.329662 * 69.895752 *
*     6850 * 21.751188 * 75.466003 *
*     6857 * 40.989078 * 73.828338 *
*     6858 * 21.902776 * 73.799438 *
*     6877 * 21.225664 * 72.606689 *
*     6878 * 42.120361 * 75.442749 *
*     6886 * 20.722999 * -1300.182 *
*     6891 * 41.499389 * 74.985961 *
*     6898 * 20.255394 * 78.078521 *
*     6912 * 22.069479 * 77.982299 *
*     6920 * 21.890556 * 74.568023 *
*     6930 * 40.861209 * 75.236908 *
*     6931 * 19.733009 * 80.549713 *
*     6946 * 21.841003 * 75.010223 *
*    26995 * 26.802192 * 72.763397 *
*    27526 * 53.458477 * 70.852478 *
*    27566 * 53.210010 * 72.183929 *
*    27570 * 53.274467 * 70.700500 *
*    27700 * 53.236244 * 70.951263 *
*    27713 * 53.520267 * 73.042541 *
*    27726 * 52.831016 * -287.2229 *
*    27751 * 53.848953 * 74.117614 *
*    27782 * 53.084663 * 70.613739 *
*    27801 * 53.096546 * 71.838867 *
*    27802 * 53.810913 * 71.436462 *
*    27821 * 53.137245 * 70.219757 *
*    27837 * 53.172245 * 73.330169 *
*    27859 * 53.184127 * 44.912963 *
*    27860 * 53.183742 * 70.471313 *
*    27863 * 53.237888 * -63.94677 *
*    27890 * 53.499218 * 71.084075 *
*    27908 * 53.222023 * 72.438262 *
*    27949 * 53.357410 * 72.015777 *
*    27997 * 53.484714 * 70.757293 *
*    27998 * 53.442745 * 70.894989 *
*    28016 * 53.482097 * 71.018035 *
*    28043 * 53.205268 * 73.138763 *
*    28068 * 53.605037 * 72.824401 *
*    28096 * 52.754386 * 71.006958 *
*    28097 * 53.531730 * 71.818695 *
*    28114 * 53.039756 * 70.900909 *
*    28122 * 53.175968 * 70.845947 *
*    28148 * 53.591678 * 71.004333 *
*    28177 * 53.448951 * 73.354705 *
*    28203 * 52.448371 * 73.581481 *
*    28210 * 53.376346 * 70.141937 *
*    28214 * 52.871486 * 71.679840 *
*    28215 * 52.533721 * 73.690826 *
*    28217 * 53.271343 * 70.381500 *
*    28314 * 53.394203 * 72.188812 *
*    28327 * 53.144779 * 296.67828 *
*    28349 * 53.041198 * 71.816314 *
*    28380 * 53.629001 * 71.357543 *
*    28391 * 53.048656 * 70.840026 *
*    28394 * 52.868518 * 71.771972 *
*    28438 * 53.209457 * 71.619842 *
*    28491 * 53.184719 * 71.750701 *
*    28500 * 53.225643 * 182.73867 *
*    28512 * 53.672023 * 72.284576 *
*    28515 * 53.423992 * 72.719787 *
*    28552 * 53.519794 * 71.763397 *
*    28568 * 53.503795 * 72.108520 *
*    28571 * 52.942386 * 71.222686 *
*    28620 * 53.469348 * 71.546234 *
*    28664 * 53.078964 * 72.122039 *
*    28701 * 53.572090 * 71.653778 *
*    28729 * 53.517101 * 70.756225 *
*    28827 * 53.281169 * -1257.753 *
*    28828 * 32.809623 * -1262.048 *
*    28892 * 52.966373 * 72.934417 *
*    28911 * 53.191928 * 70.600555 *
*    28945 * 53.198116 * 71.191131 *
*    28957 * 53.542617 * 70.279174 *
*    28959 * 52.917964 * 71.882782 *
*    28974 * 53.248554 * 71.523559 *
*    28985 * 53.383037 * 71.723266 *
*    29044 * 53.382530 * 70.235870 *
*    29056 * 53.140911 * 71.158966 *
*    29097 * 53.609119 * -1330.714 *
*    29113 * 53.225708 * 73.142425 *
*    29114 * 53.279758 * 70.762725 *
*    29142 * 53.070732 * 71.986816 *
*    29150 * 53.711959 * 73.040893 *
*    29182 * 53.718002 * -631.6004 *
*    29187 * 52.807865 * 71.207916 *
*    29194 * 52.507976 * 69.899108 *
*    29199 * 53.353786 * 70.006866 *
*    29221 * 53.099109 * 71.007507 *
*    29285 * 53.504753 * 72.062896 *
*    29286 * 53.511711 * 71.895752 *
*    29292 * 52.917743 * 72.801788 *
*    29294 * 53.138610 * 72.397796 *
*    29339 * 52.954124 * 71.294036 *
*    29345 * 53.709564 * 73.215454 *
*    29356 * 52.943103 * 71.217804 *
*    29383 * 53.330383 * 71.871246 *
*    29385 * 53.318611 * 69.382568 *
*    29398 * 53.090435 * 70.701324 *
*    29412 * 52.712757 * 73.805267 *
*    29422 * 53.216507 * 70.880462 *
*    29425 * 52.936862 * 548.04477 *
*    29433 * 53.156520 * 72.434539 *
*    29447 * 52.522407 * 71.765167 *
*    29463 * 53.248180 * -1083.256 *
*    29470 * 52.863548 * 71.233612 *
*    29494 * 53.572715 * 72.334533 *
*    29500 * 53.492446 * 69.661621 *
*    29522 * 53.187877 * 72.140350 *
*    29532 * 54.108532 * 69.331848 *
*    29545 * 53.882473 * 71.949249 *
*    29569 * 52.860107 * -293.9310 *
*    29586 * 53.682769 * 71.755706 *
*    29597 * 53.479019 * 71.990142 *
*    29598 * 52.713256 * 70.281616 *
*    29628 * 52.913978 * -416.1784 *
*    29648 * 53.468593 * 73.224639 *
*    29659 * 53.133480 * 71.491333 *
*    29667 * 53.354610 * 71.350280 *
*    29685 * 53.491912 * 71.761291 *
*    29719 * 53.692047 * 70.638855 *
*    29722 * 53.020694 * 71.015716 *
*    29738 * 53.407558 * 72.440277 *
*    29746 * 53.447341 * 71.437286 *
*    29754 * 53.666988 * 73.874298 *
*    29765 * 53.450489 * -294.3570 *
*    29771 * 53.341182 * 69.479064 *
*    29845 * 52.770298 * 70.228942 *
*    29866 * 52.921119 * 69.747680 *
*    29874 * 53.290393 * 71.265106 *
*    29875 * 53.286666 * 70.834075 *
*    29887 * 53.215290 * 72.266662 *
*    29929 * 53.703388 * 71.646484 *
*    29948 * 53.235885 * 71.514892 *
*    29952 * 52.710834 * 71.582489 *
*    29963 * 52.788475 * 71.605438 *
*    29975 * 53.082946 * 72.501007 *
*    29985 * 52.706909 * 71.426116 *
*    30030 * 53.255943 * 70.942565 *
*    30034 * 53.282943 * 72.770935 *
*    30068 * 53.129100 * 72.985809 *
*    30077 * 52.699390 * -1250.853 *
*    30078 * 53.009338 * 70.304290 *
*    30088 * 53.032016 * 69.455291 *
*    30092 * 52.836475 * 72.241394 *
*    30094 * 53.583072 * -1384.330 *
*    30095 * 52.992771 * 71.932067 *
*    30097 * 53.099838 * 70.028930 *
*    30102 * 53.511417 * 71.672668 *
*    30123 * 53.322826 * 71.611480 *
*    30125 * 52.968765 * 72.363128 *
*    30136 * 53.548809 * 71.401733 *
*    30186 * 53.050682 * 70.565307 *
*    30192 * 53.619281 * 72.482757 *
*    30194 * 53.194397 * 70.120422 *
*    30195 * 53.218574 * 71.319305 *
*    30212 * 53.059536 * 71.407775 *
*    30222 * 53.580238 * 71.621307 *
*    30229 * 52.749259 * 71.287841 *
*    30232 * 53.282054 * 72.304962 *
*    30246 * 53.054317 * 70.182220 *
*    30257 * 53.564510 * 72.255615 *
*    30273 * 52.925586 * 71.677856 *
*    30294 * 53.123340 * -997.1047 *
*    30305 * 53.328022 * 72.882446 *
*    30310 * 53.422016 * 72.868042 *
*    30314 * 53.582126 * 72.920043 *
*    30319 * 53.166439 * 72.122985 *
*    30336 * 53.155494 * 71.885528 *
*    30344 * 53.084224 * 72.331146 *
*    30345 * 53.341346 * 69.977905 *
*    30392 * 53.066093 * 71.869415 *
*    30395 * 53.513824 * 71.406799 *
*    30400 * 53.023967 * 71.750701 *
*    30403 * 53.320163 * 71.458221 *
*    30412 * 53.051658 * 431.60186 *
*    30424 * 53.446701 * 74.675994 *
*    30438 * 53.307334 * 70.333160 *
*    30440 * 53.425090 * 71.941619 *
*    30467 * 53.066154 * -925.8331 *
*    30489 * 52.886329 * 72.105346 *
*    30496 * 53.172508 * 72.483276 *
*    30500 * 53.262023 * 72.402130 *
*    30515 * 53.087036 * 71.879211 *
*    30517 * 53.048488 * 70.922180 *
*    30530 * 53.289962 * 71.268371 *
*    30541 * 53.420032 * -1048.531 *
*    30558 * 53.225769 * 72.033477 *
*    30561 * 53.933490 * 71.727600 *
*    30584 * 52.899040 * 70.791015 *
*    30594 * 53.171775 * 72.254058 *
*    30615 * 52.492687 * 74.054107 *
*    30623 * 53.238102 * 72.012115 *
*    30648 * 53.615894 * 71.063201 *
*    30654 * 53.029300 * 70.611663 *
*    30682 * 53.560737 * 71.800994 *
*    30714 * 53.270809 * 72.540771 *
*    30727 * 53.423091 * 71.721313 *
*    30734 * 53.127971 * 70.247100 *
*    30754 * 53.695232 * 71.475372 *
*    30771 * 53.247116 * 70.827697 *
*    30786 * 53.359256 * 72.082336 *
*    30790 * 53.525245 * 71.947998 *
*    30827 * 52.677692 * 71.808441 *
*    30846 * 53.090305 * 72.410705 *
*    30873 * 53.313346 * 71.249572 *
*    30876 * 53.515235 * -736.7653 *
*    30878 * 53.360111 * -315.9383 *
*    30880 * 53.096653 * 73.036926 *
*    30887 * 52.930053 * 68.975463 *
*    30922 * 52.871639 * 70.843780 *
*    30928 * 53.221347 * 70.631530 *
