============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(2,05 MeV) ==> Mylar+Aluminium( 1261 A) =================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,2022392E+07   1261328E-03 -,6258E+00  ,1053E+01   ,9999980 -,0019561  ,0003594
T    2  2 ,2024875E+07   1261289E-03 -,1128E+01 -,1509E+01   ,9999769 -,0051892  ,0043923
T    3  2 ,2021923E+07   1262151E-03  ,5650E+00  ,8007E+00   ,9999978  ,0018889  ,0009255
T    4  2 ,2024017E+07   1263154E-03 -,2088E+01 -,4902E-01   ,9999946 -,0032086 -,0006856
T    5  2 ,2021796E+07   1262082E-03  ,5663E-01  ,2377E+01   ,9999925  ,0002370  ,0038547
T    6  2 ,2025250E+07   1262088E-03  ,1063E+00 -,1013E+01   ,9999988  ,0009392 -,0012560
T    7  2 ,2020133E+07   1263364E-03 -,8157E+00 -,7498E+00   ,9999899 -,0038625 -,0023189
T    8  2 ,2021233E+07   1262154E-03 -,2684E+01 -,8906E-01   ,9999877 -,0047524  ,0014151
T    9  2 ,2024556E+07   1263288E-03 -,1843E+01 -,7895E-01   ,9999986 -,0016331  ,0004170
T   10  2 ,2025035E+07   1261176E-03 -,1154E+01  ,1380E+01   ,9999957 -,0016992  ,0023961
T   11  2 ,2023683E+07   1263162E-03  ,1754E+01 -,1254E+01   ,9999958  ,0024224 -,0015973
T   12  2 ,2025977E+07   1263507E-03  ,3785E+00 -,6934E-01   ,9999997  ,0002694  ,0007031
T   13  2 ,2022926E+07   1261712E-03  ,5541E+00  ,3394E+00   ,9999984  ,0015986  ,0008501
T   14  2 ,2019745E+07   1262975E-03 -,3591E+01  ,3504E+01   ,9999848 -,0036415  ,0041451
T   15  2 ,2020012E+07   1263491E-03  ,1071E+00  ,2106E+00   ,9999993 -,0003648 -,0010974
T   16  2 ,2025914E+07   1262921E-03 -,1308E+01  ,2596E+00   ,9999716 -,0057084 -,0049286
T   17  2 ,2024771E+07   1263453E-03  ,1012E+00 -,8505E+00   ,9999980  ,0008687 -,0017896
T   18  2 ,2023872E+07   1261543E-03 -,5642E+00  ,9930E+00   ,9999998 -,0000250  ,0005949
T   19  2 ,2025117E+07   1261336E-03  ,1547E+00  ,9723E-01   ,9999982 -,0010102  ,0016035
T   20  2 ,2023852E+07   1261626E-03  ,3316E+00  ,2870E+00   ,9999991  ,0006908  ,0011606
T   21  2 ,2022519E+07   1262096E-03  ,5211E+00  ,7455E+00   ,9999976  ,0021947  ,0000885
T   22  2 ,2021682E+07   1262837E-03 -,1148E+01  ,6911E-01   ,9999979 -,0020056  ,0004788
T   23  2 ,2021615E+07   1262813E-03  ,6513E+00  ,2197E+00   ,9999998 -,0001847  ,0005181
T   24  2 ,2023070E+07   1261051E-03 -,2593E+00 -,1105E+00   ,9999960 -,0020351 -,0019548
T   25  2 ,2024476E+07   1262388E-03  ,9833E+00 -,7875E+00   ,9999775  ,0063059 -,0022800
T   26  2 ,2021895E+07   1262848E-03 -,1036E+01 -,1088E+01   ,9999972 -,0013501 -,0019514
T   27  2 ,2022675E+07   1262564E-03  ,2529E-01 -,1865E+00   ,9999999 -,0000366  ,0001691
T   28  2 ,2020039E+07   1261408E-03 -,2047E-01  ,6527E+01   ,9999309 -,0004249  ,0117482
T   29  2 ,2024198E+07   1262783E-03 -,5405E+00 -,2668E+00   ,9999994  ,0003165  ,0010392
T   30  2 ,2024905E+07   1263140E-03  ,7900E+00 -,8740E+00   ,9999934  ,0035492  ,0007721
T   31  2 ,2021925E+07   1262275E-03 -,9809E+00  ,1702E+01   ,9999889 -,0038006  ,0027903
T   32  2 ,2018847E+07   1262631E-03  ,5646E+00 -,9868E+00   ,9999936  ,0020075 -,0029559
T   33  2 ,2021533E+07   1263015E-03  ,2599E+00 -,1657E+00   ,9999977  ,0019309  ,0008879
T   34  2 ,2021437E+07   1262377E-03  ,4016E+00  ,1818E+00   ,9999999 -,0000752 -,0003339
T   35  2 ,2026248E+07   1263538E-03  ,4659E+00 -,9477E+00   ,9999936  ,0028885 -,0020960
T   36  2 ,2018981E+07   1261603E-03  ,8575E+00 -,1405E+00   ,9999978  ,0020727  ,0001553
T   37  2 ,2019763E+07   1262449E-03 -,6352E+00  ,1774E+00   ,9999990  ,0002235  ,0014093
T   38  2 ,2023622E+07   1263386E-03  ,1346E+01  ,4728E+00   ,9999994  ,0009387  ,0005977
T   39  2 ,2015925E+07   1262719E-03 -,1352E+01  ,2829E+00   ,9999942 -,0033930  ,0002592
T   40  2 ,2023163E+07   1261235E-03  ,1178E+01  ,3656E+00   ,9999998  ,0006096 -,0001588
T   41  2 ,2015601E+07   1262030E-03  ,4333E+00 -,3915E+00   ,9999987  ,0013188 -,0009013
T   42  2 ,2023487E+07   1262358E-03  ,7514E+00  ,2258E-01   ,9999971  ,0022292  ,0009459
T   43  2 ,2019570E+07   1262093E-03 -,3028E+00  ,1027E+01   ,9999989 -,0004862  ,0013698
T   44  2 ,2024564E+07   1262689E-03 -,3314E+00  ,2383E+01   ,9999976 -,0001209  ,0022021
T   45  2 ,2020355E+07   1262503E-03 -,6212E+00  ,4147E+01   ,9999864  ,0019913  ,0048247
T   46  2 ,2022597E+07   1261733E-03  ,5383E+00  ,4730E+00   ,9999981  ,0014872  ,0012467
T   47  2 ,2022914E+07   1262775E-03 -,9477E+01 -,2682E+01   ,9998316 -,0174930 -,0055476
T   48  2 ,2023133E+07   1261924E-03  ,1568E+00 -,3313E+00   ,9999982  ,0019025  ,0000292
T   49  2 ,2018135E+07   1263058E-03  ,4850E+00  ,3490E+00   ,9999996  ,0006667  ,0006077
T   50  2 ,2017426E+07   1263511E-03  ,1060E+02 -,1203E+02   ,9962030  ,0587452 -,0642535
T   51  2 ,2023610E+07   1261337E-03 -,2098E+01 -,4428E+00   ,9999942 -,0032790 -,0008698
T   52  2 ,2021223E+07   1262905E-03 -,1328E+01  ,6482E+00   ,9999969 -,0006265  ,0023989
T   53  2 ,2024132E+07   1261747E-03  ,6178E+00 -,3173E+00   ,9999984  ,0010586 -,0014269
T   54  2 ,2025827E+07   1261509E-03 -,1434E+00 -,6786E+00   ,9999961 -,0011073 -,0025565
T   55  2 ,2016380E+07   1262518E-03 -,9327E+00 -,2792E+00   ,9999990 -,0011146 -,0008112
T   56  2 ,2024489E+07   1262015E-03 -,6074E+00 -,2550E+01   ,9999961 -,0022748 -,0016385
T   57  2 ,2023581E+07   1263464E-03 -,1247E+00 -,3477E+01   ,9999936 -,0000288 -,0035789
T   58  2 ,2026033E+07   1263188E-03 -,1670E+01  ,2596E+00   ,9999984 -,0012749 -,0012305
T   59  2 ,2025666E+07   1262685E-03 -,7615E+00 -,1277E+00   ,9999987 -,0007776 -,0014086
T   60  2 ,2022268E+07   1262018E-03 -,1816E+00  ,9528E+00   ,9999870 -,0016740  ,0048162
T   61  2 ,2023260E+07   1262424E-03  ,5964E+00  ,6846E+00   ,9999956  ,0017712  ,0023676
T   62  2 ,2025161E+07   1261328E-03  ,1592E+00 -,1054E+01   ,9999986  ,0016583 -,0002903
T   63  2 ,2022951E+07   1263453E-03 -,9437E+00 -,1758E+01   ,9999938 -,0001040 -,0035284
T   64  2 ,2024678E+07   1261236E-03 -,1331E+00  ,6594E+00   ,9999960  ,0001846  ,0028381
T   65  2 ,2025046E+07   1262832E-03 -,3041E-01  ,9936E-01   ,9999694 -,0077021 -,0013839
T   66  2 ,2023033E+07   1263534E-03  ,8030E+00  ,1948E-01   ,9999999 -,0000821  ,0003364
T   67  2 ,2023973E+07   1262147E-03 -,9750E+00  ,6266E-01   ,9999830  ,0054079 -,0021760
T   68  2 ,2022635E+07   1263008E-03 -,5212E-01 -,1453E+01   ,9999990  ,0003015 -,0013665
T   69  2 ,2024403E+07   1262810E-03  ,2598E+00 -,6484E+00   ,9999999 -,0000340 -,0005380
T   70  2 ,2023037E+07   1263289E-03 -,1277E+00 -,2244E+00   ,9999978 -,0012125 -,0016998
T   71  2 ,2021395E+07   1263538E-03 -,2457E+00  ,6334E+00   ,9999994 -,0011092  ,0000409
T   72  2 ,2024253E+07   1262509E-03  ,2802E+00  ,2762E+00   ,9999962 -,0008655  ,0026091
T   73  2 ,2025661E+07   1261792E-03 -,9209E+00  ,9696E+00   ,9999977 -,0011752  ,0017808
T   74  2 ,2023749E+07   1261766E-03 -,1415E+01 -,1195E+01   ,9999860 -,0052196 -,0009105
T   75  2 ,2019147E+07   1262390E-03  ,3756E+00  ,7832E+00   ,9999968  ,0007873  ,0023836
T   76  2 ,2024100E+07   1263175E-03  ,4571E-01 -,8971E+00   ,9999981 -,0003702 -,0019291
T   77  2 ,2025955E+07   1262675E-03  ,4013E+00 -,8113E+00   ,9999995  ,0002951 -,0009219
T   78  2 ,2023588E+07   1262685E-03  ,2473E+01  ,1701E+01   ,9999895  ,0028914  ,0035524
T   79  2 ,2022169E+07   1262933E-03  ,2452E+00  ,1694E+01   ,9999819  ,0041925  ,0043102
T   80  2 ,2019070E+07   1262103E-03  ,1381E+00 -,1767E+00   ,9999880  ,0025463 -,0041899
T   81  2 ,2022939E+07   1261032E-03 -,5263E+00  ,1842E+01   ,9999925 -,0017307  ,0034549
T   82  2 ,2025989E+07   1262114E-03  ,4613E+00 -,4174E+00   ,9999870 -,0043685 -,0026299
T   83  2 ,2021366E+07   1261263E-03 -,6090E-02  ,8001E-01   ,9999999  ,0000777  ,0001466
T   84  2 ,2018205E+07   1261898E-03 -,4111E+00 -,1684E+01   ,9999940 -,0000370 -,0034639
T   85  2 ,2024422E+07   1263231E-03 -,3199E+01  ,4141E+01   ,9999621 -,0047958  ,0072635
T   86  2 ,2019587E+07   1263135E-03  ,1486E+01  ,1534E+01   ,9999895  ,0031986  ,0032814
T   87  2 ,2024714E+07   1261821E-03 -,5230E+00 -,6461E+00   ,9999984  ,0003395 -,0017650
T   88  2 ,2021263E+07   1262751E-03 -,7575E+00 -,6013E+00   ,9999977 -,0019573 -,0008575
T   89  2 ,2024420E+07   1261497E-03 -,3070E+00  ,1310E+01   ,9999950 -,0008723  ,0030444
T   90  2 ,2018655E+07   1263347E-03  ,1255E+01  ,1285E+01   ,9999228  ,0000262  ,0124220
T   91  2 ,2023008E+07   1263115E-03 -,6702E+00  ,4973E+00   ,9999969 -,0022515  ,0011063
T   92  2 ,2024699E+07   1261260E-03  ,3189E+00 -,7256E+00   ,9999998  ,0004665 -,0004187
T   93  2 ,2020275E+07   1262390E-03  ,1545E+01 -,2301E+01   ,9999731  ,0046951 -,0056340
T   94  2 ,2023840E+07   1262982E-03  ,5473E+00 -,4727E+00   ,9999998  ,0003714  ,0005619
T   95  2 ,2023717E+07   1262283E-03  ,2927E-01 -,1448E+00   ,9999990  ,0006856  ,0012736
T   96  2 ,2021884E+07   1263474E-03 -,1143E+01  ,1293E+01   ,9999987 -,0014696  ,0005847
T   97  2 ,2019772E+07   1261054E-03 -,5388E+00 -,6489E+00   ,9999970 -,0016136 -,0018359
T   98  2 ,2022318E+07   1262177E-03  ,1519E+01  ,1263E+01   ,9999698  ,0050181  ,0059322
T   99  2 ,2025657E+07   1262099E-03 -,5256E+00 -,1847E+01   ,9999982  ,0005408 -,0018071
T  100  2 ,2020479E+07   1263246E-03 -,5996E+00  ,3288E+00   ,9999999 -,0003829 -,0000428
T  101  2 ,2026773E+07   1263313E-03  ,5810E+00 -,1142E-01   ,9999970  ,0020446 -,0013542
T  102  2 ,2019805E+07   1263250E-03 -,9290E-01  ,1891E+01   ,9999947  ,0004670  ,0032110
T  103  2 ,2019020E+07   1262019E-03  ,5264E+00  ,5336E+00   ,9999968  ,0025285 -,0001557
T  104  2 ,2027205E+07   1262499E-03  ,1192E+01 -,1716E+01   ,9999966  ,0012639 -,0022959
T  105  2 ,2022722E+07   1263228E-03  ,3488E+00 -,8539E+00   ,9999993 -,0002227 -,0011476
T  106  2 ,2023463E+07   1262435E-03 -,1384E+01  ,3795E-01   ,9999979 -,0013654 -,0015492
