============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(577 keV) ==> Mylar+Aluminium( 1261 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,5721277E+06   1261106E-03 -,9822E+00  ,8718E+00   ,9999946 -,0004774  ,0032548
T    2  1 ,5695417E+06   1261826E-03 -,1240E+01  ,2810E+01   ,9999844 -,0015441  ,0053754
T    3  1 ,5705843E+06   1261247E-03 -,5216E+01  ,5979E+00   ,9999647 -,0079199  ,0028190
T    4  1 ,5705825E+06   1262267E-03  ,5393E+00  ,1593E+01   ,9999885 -,0000636  ,0047954
T    5  1 ,5706309E+06   1263502E-03  ,2284E+01  ,2165E+01   ,9999509  ,0088096 -,0045350
T    6  1 ,5708268E+06   1263247E-03 -,3659E+01  ,6341E+00   ,9999806 -,0060176  ,0015984
T    7  1 ,5705814E+06   1263340E-03 -,1183E+00 -,5913E-01   ,9999993 -,0008105 -,0008928
T    8  1 ,5699817E+06   1263523E-03  ,4059E+00 -,2434E+01   ,9999922  ,0010555 -,0038163
T    9  1 ,5716218E+06   1261804E-03 -,1710E+01  ,2878E+01   ,9999900  ,0041427  ,0016747
T   10  1 ,5683989E+06   1261790E-03  ,1145E+01 -,1475E+01   ,9999963 -,0005753 -,0026552
T   11  1 ,5716464E+06   1262773E-03  ,9225E+00 -,1536E+01   ,9999965  ,0021498 -,0015610
T   12  1 ,5725332E+06   1262969E-03  ,1293E+00 -,1212E+01   ,9999982  ,0008619 -,0016611
T   13  1 ,5697873E+06   1261705E-03  ,8275E-01 -,1073E+01   ,9999994 -,0007645 -,0007895
T   14  1 ,5701487E+06   1263415E-03 -,4178E+01 -,3632E+00   ,9999830 -,0054364 -,0020942
T   15  1 ,5711751E+06   1261706E-03 -,6155E-01  ,4253E+00   ,9999999  ,0001430  ,0002674
T   16  1 ,5695832E+06   1263477E-03 -,1314E+01  ,1686E+01   ,9999927 -,0029905  ,0023949
T   17  1 ,5705672E+06   1261717E-03 -,3433E+01  ,2364E+01   ,9999779 -,0052363  ,0040864
T   18  1 ,5722975E+06   1262876E-03  ,2317E+00  ,1342E+01   ,9999968 -,0013490  ,0021282
T   19  1 ,5697466E+06   1261128E-03  ,2216E+00  ,3156E+00   ,9999987  ,0010681 -,0011794
T   20  1 ,5691729E+06   1262583E-03  ,6768E+00 -,1198E+01   ,9999935  ,0029784 -,0020180
T   21  1 ,5690950E+06   1261564E-03 -,1200E+01  ,7595E+00   ,9999967 -,0010781  ,0023222
T   22  1 ,5710058E+06   1263495E-03 -,2235E+01 -,1050E+00   ,9999888 -,0047282  ,0000778
T   23  1 ,5705223E+06   1261586E-03  ,1584E+01 -,2385E+01   ,9999873  ,0038172 -,0032759
T   24  1 ,5708999E+06   1261881E-03  ,6792E+00  ,1808E+01   ,9999906  ,0024934  ,0035381
T   25  1 ,5698965E+06   1262817E-03 -,8311E+00 -,6890E+00   ,9999966 -,0014589 -,0021752
T   26  1 ,5709873E+06   1262791E-03 -,1247E+01 -,1161E+01   ,9999724 -,0074284 -,0002932
T   27  1 ,5721159E+06   1261362E-03  ,3480E+00 -,4964E+00   ,9999937  ,0014439  ,0032580
T   28  1 ,5695895E+06   1262890E-03 -,1234E+01  ,1885E+01   ,9999804 -,0050120  ,0037411
T   29  1 ,5712429E+06   1261634E-03  ,1698E+01 -,9613E+00   ,9999850  ,0046234 -,0029205
T   30  1 ,5708783E+06   1263172E-03 -,1104E+00  ,2155E+00   ,9999988  ,0006526  ,0013729
T   31  1 ,5691227E+06   1262365E-03  ,4938E+00  ,4124E+01   ,9998859 -,0035027  ,0146960
T   32  1 ,5705669E+06   1262311E-03  ,3273E+00  ,9474E-01   ,9999896  ,0023805  ,0038940
T   33  1 ,5701349E+06   1261958E-03 -,2629E+00  ,2871E+00   ,9999899 -,0030972  ,0032648
T   34  1 ,5708935E+06   1262856E-03 -,1694E+01 -,3973E+01   ,9999839 -,0039146 -,0041072
T   35  1 ,5698635E+06   1263145E-03  ,8468E+00  ,6355E+00   ,9999984 -,0014615  ,0010038
T   36  1 ,5695060E+06   1263392E-03 -,2587E+01  ,1074E+02   ,9997411 -,0065128  ,0218027
T   37  1 ,5716560E+06   1261457E-03  ,3141E+00 -,1069E+01   ,9999931  ,0037220  ,0001000
T   38  1 ,5707315E+06   1262177E-03  ,1051E+01  ,1500E+01   ,9999997  ,0002441  ,0006960
T   39  1 ,5721216E+06   1262960E-03 -,5098E+01  ,2641E+01   ,9999745 -,0029405  ,0065098
T   40  1 ,5710320E+06   1262242E-03 -,2462E+01  ,5192E+00   ,9999692 -,0070822  ,0033858
T   41  1 ,5719173E+06   1263452E-03 -,1426E+01 -,3180E+00   ,9999985  ,0012739  ,0011668
T   42  1 ,5703466E+06   1263109E-03  ,1466E+01  ,1747E+01   ,9999918  ,0027727  ,0029527
T   43  1 ,5700076E+06   1262873E-03 -,1911E+01  ,7139E+00   ,9999683 -,0073484 -,0030755
T   44  1 ,5695129E+06   1263367E-03  ,1364E+01  ,1756E+01   ,9999904  ,0040083  ,0017782
T   45  1 ,5705063E+06   1262369E-03 -,3524E+01  ,3903E+01   ,9999443 -,0101041  ,0030431
T   46  1 ,5723112E+06   1261683E-03  ,1526E+01 -,1804E+01   ,9999920  ,0007832 -,0039222
T   47  1 ,5693014E+06   1261214E-03  ,2603E+00 -,7905E+00   ,9999042  ,0095700 -,0099997
T   48  1 ,5697079E+06   1261289E-03  ,1731E+01  ,2773E-01   ,9999787  ,0064440 -,0010624
T   49  1 ,5715384E+06   1263257E-03  ,6507E+01 -,2900E+00   ,9999656  ,0078809  ,0025791
T   50  1 ,5720187E+06   1262884E-03  ,2384E+01  ,3250E+01   ,9999709 -,0004509  ,0076214
T   51  1 ,5694256E+06   1261562E-03  ,1347E+01 -,9246E+00   ,9999994  ,0001808 -,0010642
T   52  1 ,5707020E+06   1262257E-03 -,9148E+01  ,5631E+01   ,9999256 -,0111996  ,0048282
T   53  1 ,5707087E+06   1261119E-03  ,1781E+01 -,1666E+00   ,9999414  ,0100049 -,0041307
T   54  1 ,5714598E+06   1262300E-03 -,7947E+00 -,4986E+00   ,9999925 -,0000973  ,0038685
T   55  1 ,5711266E+06   1263035E-03  ,2307E+01 -,1028E+01   ,9999438  ,0086544 -,0061157
T   56  1 ,5712166E+06   1262668E-03 -,1223E+01 -,1599E+00   ,9999985 -,0011872 -,0012431
T   57  1 ,5707386E+06   1261260E-03 -,1787E+01  ,2485E+01   ,9999938 -,0030081  ,0018566
T   58  1 ,5701943E+06   1262775E-03  ,1363E+01  ,1280E+01   ,9999948  ,0028063  ,0016154
T   59  1 ,5716577E+06   1263547E-03 -,3225E+01  ,1970E+01   ,9998577 -,0158010  ,0059167
T   60  1 ,5703945E+06   1262275E-03 -,3602E+01  ,9451E+00   ,9999864 -,0046967  ,0022777
T   61  1 ,5721570E+06   1261794E-03 -,8709E-01  ,7628E+00   ,9999916 -,0012601  ,0038909
T   62  1 ,5711818E+06   1262779E-03  ,7509E+00 -,6733E+00   ,9999998 -,0005996  ,0000467
T   63  1 ,5700503E+06   1261954E-03  ,1475E+01  ,6323E+00   ,9999916  ,0037872  ,0015527
T   64  1 ,5704462E+06   1261395E-03  ,4855E+00 -,7913E+00   ,9999992 -,0012594 -,0002848
T   65  1 ,5691377E+06   1263401E-03  ,2860E+00 -,2540E+00   ,9999952  ,0027247 -,0015026
T   66  1 ,5702175E+06   1263310E-03  ,6399E-01 -,1783E+00   ,9999997 -,0008263  ,0000061
T   67  1 ,5701372E+06   1262908E-03 -,2574E+01  ,7675E+00   ,9999789 -,0061298 -,0021383
T   68  1 ,5681155E+06   1262569E-03 -,1370E+01 -,1232E+01   ,9999867 -,0035906 -,0037076
T   69  1 ,5712581E+06   1263167E-03 -,4659E+00  ,2090E+00   ,9999714  ,0003228  ,0075553
T   70  1 ,5720231E+06   1261732E-03 -,3442E+01  ,8674E+00   ,9999864 -,0036840  ,0037039
T   71  1 ,5709485E+06   1263061E-03 -,4629E+00 -,8702E-01   ,9999986 -,0016370  ,0003465
T   72  1 ,5707726E+06   1263388E-03  ,4367E+00 -,1821E-01   ,9999975  ,0018290 -,0012756
T   73  1 ,5715242E+06   1261287E-03 -,7702E+00  ,1581E+01   ,9999680 -,0030650  ,0073857
T   74  1 ,5696952E+06   1261238E-03 -,6873E+00 -,1806E+01   ,9999881 -,0023011 -,0042971
T   75  1 ,5683525E+06   1261211E-03 -,2123E+00 -,1952E+01   ,9999877  ,0002300 -,0049602
T   76  1 ,5679222E+06   1263225E-03 -,1067E+01  ,1197E+01   ,9999808 -,0048392  ,0038622
