============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(4,75 MeV) ==> Mylar+Aluminium( 1261 A) =================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   43  2 ,4735898E+07   1262037E-03  ,7657E-01  ,1694E+00   ,9999999 -,0000842  ,0003923
T   44  2 ,4735526E+07   1262454E-03 -,2267E+00 -,7143E-01   ,9999999  ,0003319  ,0003845
T   45  2 ,4734982E+07   1262137E-03 -,5425E+00  ,1011E+01   ,9999992 -,0005351  ,0011108
T   46  2 ,4735725E+07   1261214E-03  ,9322E-01 -,3218E+00   ,9999998 -,0004025 -,0005338
T   47  2 ,4733136E+07   1263173E-03 -,2491E+00 -,1263E+00   ,9999996 -,0007723  ,0004308
T   48  2 ,4732193E+07   1263197E-03  ,3675E+00 -,2834E+00   ,9999996  ,0008521 -,0001645
T   49  2 ,4735445E+07   1262403E-03 -,7363E+00  ,6166E+00   ,9999979 -,0009075  ,0018344
T   50  2 ,4733000E+07   1261262E-03  ,1227E+00  ,1793E+00   ,9999995 -,0009342  ,0003206
T   51  2 ,4737242E+07   1262353E-03  ,9008E-01  ,3813E+00   ,9999995  ,0004052  ,0008716
T   52  2 ,4733075E+07   1262624E-03  ,1256E+00 -,7763E-01   ,9999997  ,0007795 -,0001088
T   53  2 ,4732168E+07   1262777E-03 -,8787E-01  ,2958E+00   ,9999987 -,0005078  ,0015389
T   54  2 ,4735745E+07   1262373E-03  ,4969E+00 -,5430E+00   ,9999998  ,0005985  ,0000872
T   55  2 ,4733421E+07   1261026E-03 -,2497E+00 -,5378E+00   ,9999985 -,0010666 -,0013817
T   56  2 ,4734722E+07   1261461E-03  ,6677E+00  ,6453E-01   ,9999989  ,0015127 -,0000437
T   57  2 ,4735496E+07   1261408E-03  ,1249E+00 -,6535E+00   ,9999988  ,0003568 -,0014773
T   58  2 ,4735457E+07   1263278E-03  ,4195E+00  ,1901E+00   ,9999999  ,0003603  ,0003320
T   59  2 ,4736893E+07   1263504E-03 -,3467E+00  ,7796E+00   ,9999999 -,0001133  ,0004648
T   60  2 ,4735359E+07   1263250E-03 -,4521E+00 -,2358E-01   ,9999996 -,0008655 -,0001706
T   61  2 ,4732204E+07   1261422E-03 -,1683E+00 -,4450E+00   ,9999997 -,0002182 -,0007677
T   62  2 ,4732678E+07   1262440E-03  ,5567E-01 -,7115E-01   ,9999998  ,0004240 -,0004253
T   63  2 ,4730330E+07   1263443E-03 -,4730E+00 -,3004E+00   ,9999994 -,0003897 -,0010189
T   64  2 ,4737554E+07   1263406E-03  ,3673E+00 -,1560E+00   ,9999998  ,0005958  ,0002742
T   65  2 ,4731710E+07   1262124E-03 -,2932E+00 -,5814E+00   ,9999998 -,0004881 -,0005034
T   66  2 ,4733689E+07   1263437E-03 -,1140E+01  ,3785E-01   ,9999991 -,0013414  ,0001256
T   67  2 ,4731471E+07   1262857E-03  ,3936E+00  ,7065E-01   ,9999998  ,0004676 -,0002936
T   68  2 ,4731946E+07   1261794E-03 -,5331E+00 -,1384E+00   ,9999979 -,0019537 -,0006263
T   69  2 ,4731055E+07   1262066E-03  ,3646E+00 -,9403E+00   ,9999991  ,0001983 -,0013224
T   70  2 ,4729620E+07   1262850E-03 -,8220E+00 -,9328E-01   ,9999997 -,0006953  ,0001785
T   71  2 ,4735985E+07   1262847E-03  ,2716E+00  ,2893E+00   ,9999999  ,0003490  ,0002013
T   72  2 ,4731847E+07   1262705E-03 -,1320E+00  ,1010E+00   ,9999998 -,0001932  ,0005801
T   73  2 ,4731723E+07   1262488E-03  ,3626E+00  ,1770E+00   ,9999998  ,0000728  ,0006578
T   74  2 ,4728960E+07   1262038E-03  ,9349E-01  ,2102E+00   ,9999966 -,0010350  ,0023815
T   75  2 ,4735961E+07   1261873E-03 -,3635E+00  ,3507E+00   ,9999983  ,0018228  ,0002067
T   76  2 ,4734666E+07   1262412E-03  ,5585E-01  ,7565E+00   ,9999978  ,0002002  ,0020728
T   77  2 ,4736252E+07   1262311E-03 -,5304E+00  ,1305E+00   ,9999968 -,0023841  ,0008703
T   78  2 ,4733332E+07   1262721E-03  ,9405E-01  ,1815E+00   ,9999993  ,0009185  ,0007425
T   79  2 ,4730422E+07   1261068E-03 -,4026E+00 -,4775E+00   ,9999995 -,0003149 -,0009131
T   80  2 ,4732332E+07   1263400E-03 -,1350E+01 -,2447E+01   ,9999945 -,0011354 -,0031188
T   81  2 ,4733071E+07   1263412E-03 -,2936E+00  ,2665E+00   ,9999997 -,0000838  ,0007777
